X_Pos,Y_Pos,Status,Timestamp
0.0,0.0,Unhealthy Plant,0
0.0,0.0,Unhealthy Plant,0
-5.788431988211319e-19,1.65863228459907e-37,Unhealthy Plant,0
-5.839301755573502e-19,1.6867382489871714e-37,Unhealthy Plant,0
-5.87016824267721e-19,1.7038656042887722e-37,Unhealthy Plant,0
-5.913625503444845e-19,1.7278448782253767e-37,Unhealthy Plant,0
-5.941059192844023e-19,1.7429802948782635e-37,Unhealthy Plant,0
-5.9349789948858e-19,1.7396671562799931e-37,Unhealthy Plant,0
-5.979752718903932e-19,1.7642780473048764e-37,Unhealthy Plant,0
-6.020103065155664e-19,1.7862029165801581e-37,Unhealthy Plant,0
-6.091103115699909e-19,1.8244308451203064e-37,Unhealthy Plant,0
-6.122740895052865e-19,1.8413148595382683e-37,Unhealthy Plant,0
-6.112299271087779e-19,1.8356335278738515e-37,Unhealthy Plant,0
-6.237810805578842e-19,1.90347558185203e-37,Unhealthy Plant,0
-6.570594290447371e-19,2.0912666615466646e-37,Unhealthy Plant,0
-6.738630118921945e-19,2.187929028367956e-37,Unhealthy Plant,0
-6.986416341895551e-19,2.332750893956771e-37,Unhealthy Plant,0
-7.183042722326247e-19,2.446827119143526e-37,Unhealthy Plant,0
-7.315153748127876e-19,2.521804771281654e-37,Unhealthy Plant,0
-7.520107524795398e-19,2.635629763565082e-37,Unhealthy Plant,0
-7.688108459468428e-19,2.72684324092099e-37,Unhealthy Plant,0
-7.842888150088303e-19,2.8114076623956374e-37,Unhealthy Plant,0
-7.964600591005102e-19,2.878620202042251e-37,Unhealthy Plant,0
-8.209106398317231e-19,3.013612187284781e-37,Unhealthy Plant,0
-8.316216518800825e-19,3.072306509728138e-37,Unhealthy Plant,0
-8.486546538945112e-19,3.1656929657688058e-37,Unhealthy Plant,0
-8.679623782601345e-19,3.268934014276229e-37,Unhealthy Plant,0
-8.856270358747944e-19,3.361329779151491e-37,Unhealthy Plant,0
-9.055017634935432e-19,3.461737189882069e-37,Unhealthy Plant,0
-9.303742740473369e-19,3.583242954261166e-37,Unhealthy Plant,0
-9.483179176402825e-19,3.6696116245967126e-37,Unhealthy Plant,0
-9.690641080081688e-19,3.768616930634493e-37,Unhealthy Plant,0
-9.867961519828228e-19,3.850446157533024e-37,Unhealthy Plant,0
-1.0078237773720485e-18,3.945701110222097e-37,Unhealthy Plant,0
-1.0240696166589309e-18,4.0188937194212185e-37,Unhealthy Plant,0
-1.0359202992466482e-18,4.070653123791586e-37,Unhealthy Plant,0
-1.0427078863717318e-18,4.099128768763916e-37,Unhealthy Plant,0
-1.0436533357340509e-18,4.102782300677384e-37,Unhealthy Plant,0
-1.045800010370828e-18,4.111650297455275e-37,Unhealthy Plant,0
-1.0652477933062752e-18,4.191178069159257e-37,Unhealthy Plant,0
-1.0751773062960283e-18,4.2322396624412546e-37,Unhealthy Plant,0
-1.0897821686314992e-18,4.2940234884143676e-37,Unhealthy Plant,0
-1.1032604210496167e-18,4.351525301027905e-37,Unhealthy Plant,0
-1.1152322297002856e-18,4.402117278956232e-37,Unhealthy Plant,0
-1.1222272087906488e-18,4.432669733776576e-37,Unhealthy Plant,0
-1.1366930562149463e-18,4.498381931750277e-37,Unhealthy Plant,0
-1.1594450387645688e-18,4.599919583342707e-37,Unhealthy Plant,0
-1.1894554449928303e-18,4.7306446893640845e-37,Unhealthy Plant,0
-1.20108735359782e-18,4.780740059278157e-37,Unhealthy Plant,0
-1.2297920757451043e-18,4.9028071125879624e-37,Unhealthy Plant,0
-1.2399707194055018e-18,4.945340409935675e-37,Unhealthy Plant,0
-1.2479516717215281e-18,4.975258397113669e-37,Unhealthy Plant,0
-1.264265919889152e-18,5.032506938651583e-37,Unhealthy Plant,0
-1.2765182296049212e-18,5.069926822381603e-37,Unhealthy Plant,0
-1.2832722178895815e-18,5.08848196973043e-37,Unhealthy Plant,0
-1.3002481208979688e-18,5.129094619900799e-37,Unhealthy Plant,0
-1.3103969280591463e-18,5.1486303035056574e-37,Unhealthy Plant,0
-1.3325976212711534e-18,5.182313434103562e-37,Unhealthy Plant,0
-1.3443006005861965e-18,5.1940378650691845e-37,Unhealthy Plant,0
-1.3556523846219437e-18,5.202259003894867e-37,Unhealthy Plant,0
-1.3662595796165614e-18,5.206084791308647e-37,Unhealthy Plant,0
-1.3750263610797006e-18,5.206132992142973e-37,Unhealthy Plant,0
-1.3828522211838993e-18,5.2060492290660236e-37,Unhealthy Plant,0
-1.3865586837510632e-18,5.206056171306848e-37,Unhealthy Plant,0
-1.3967904022152699e-18,5.20594822603235e-37,Unhealthy Plant,0
-1.4030967820917987e-18,5.205915840127262e-37,Unhealthy Plant,0
-1.4123231481803737e-18,5.2057577933938126e-37,Unhealthy Plant,0
-1.427048375092179e-18,5.205624824865502e-37,Unhealthy Plant,0
-1.4351341152161282e-18,5.205525599067785e-37,Unhealthy Plant,0
-1.4369614339742856e-18,5.205680501973497e-37,Unhealthy Plant,0
-1.4412912828929046e-18,5.205696571778453e-37,Unhealthy Plant,0
-1.4443563038700123e-18,5.205673358423779e-37,Unhealthy Plant,0
-1.4557358786819708e-18,5.205533488041876e-37,Unhealthy Plant,0
-1.4630981904315211e-18,5.2055521707179185e-37,Unhealthy Plant,0
-1.4729772008346598e-18,5.205445758535947e-37,Unhealthy Plant,0
-1.481658150143353e-18,5.205257500892913e-37,Unhealthy Plant,0
-1.4919075465728972e-18,5.205256887091896e-37,Unhealthy Plant,0
-1.5030194662659616e-18,5.205051481253899e-37,Unhealthy Plant,0
-1.506366932758726e-18,5.205074085092005e-37,Unhealthy Plant,0
-1.5235324889808677e-18,5.20512714812654e-37,Unhealthy Plant,0
-1.528425341143888e-18,5.205023735050888e-37,Unhealthy Plant,0
-1.5367215022265412e-18,5.2048787403366626e-37,Unhealthy Plant,0
-1.5382972379488612e-18,5.204860565369534e-37,Unhealthy Plant,0
-1.5389525946330678e-18,5.204858348250944e-37,Unhealthy Plant,0
-1.5479949217588305e-18,5.204879993577934e-37,Unhealthy Plant,0
-1.5585709951688364e-18,5.204886693116316e-37,Unhealthy Plant,0
-1.562913667263791e-18,5.204824593954415e-37,Unhealthy Plant,0
-1.5757949798501485e-18,5.204683763081116e-37,Unhealthy Plant,0
-1.5755698725634219e-18,5.204659233626199e-37,Unhealthy Plant,0
-1.5788099158174085e-18,5.204480379628489e-37,Unhealthy Plant,0
-1.5874599641785132e-18,5.2043590753753545e-37,Unhealthy Plant,0
-1.5856927287169074e-18,5.204389738482698e-37,Unhealthy Plant,0
-1.5909223225539033e-18,5.204267353415038e-37,Unhealthy Plant,0
